--------------------
BDMEP - INMET
--------------------
Estação           : BARRA - BA (OMM: 83179)
Latitude  (graus) : -11.08
Longitude (graus) : -43.16
Altitude  (metros): 401.58
Estação Operante
Inicio de operação: 03/03/1925
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83179;01/01/1977;0000;;33.6;;0;9.4;;46.25;4.166667;
83179;02/01/1977;0000;;35.7;;0;5.9;;65.5;2.133333;
83179;02/01/1977;1200;0;;;;;;;;
83179;03/01/1977;0000;;34.3;;1.7;6.8;;72.25;1.733333;
83179;03/01/1977;1200;5;;;;;;;;
83179;04/01/1977;0000;;32.3;;9.2;4.8;;75.25;1.8;
83179;04/01/1977;1200;0;;;;;;;;
83179;05/01/1977;0000;;31.6;;11.6;5.1;;59.75;3.2;
83179;05/01/1977;1200;0;;;;;;;;
83179;06/01/1977;0000;;34.1;;9.9;3.5;;75.5;1.633333;
83179;06/01/1977;1200;13.6;;;;;;;;
83179;07/01/1977;0000;;33;;3.6;4.3;;58.75;2.933333;
83179;07/01/1977;1200;0;;;;;;;;
83179;08/01/1977;0000;;34.6;;11.6;4.2;;47.25;2.8;
83179;08/01/1977;1200;0;;;;;;;;
83179;09/01/1977;0000;;34.6;;10.5;11.9;;48;4.8;
83179;09/01/1977;1200;0;;;;;;;;
83179;10/01/1977;0000;;34.9;;11.1;10.4;;55;2.233333;
83179;10/01/1977;1200;0;;;;;;;;
83179;11/01/1977;0000;;33.3;;6.6;7.5;;52;3.233333;
83179;11/01/1977;1200;0;;;;;;;;
83179;12/01/1977;0000;;34.9;;10.6;8.9;;47;2.9;
83179;12/01/1977;1200;0;;;;;;;;
83179;13/01/1977;0000;;35.7;;9.7;10.7;;42.25;4.566667;
83179;13/01/1977;1200;0;;;;;;;;
83179;14/01/1977;0000;;31.1;;0.2;10;;61.75;5.133333;
83179;14/01/1977;1200;0;;;;;;;;
83179;15/01/1977;0000;;33.7;;3.2;9.1;;66.5;2.9;
83179;15/01/1977;1200;0;;;;;;;;
83179;16/01/1977;0000;;36.3;;11.7;8.7;;44.25;4.233333;
83179;16/01/1977;1200;0;;;;;;;;
83179;17/01/1977;0000;;35.7;;6.8;9.9;;63.25;3.133333;
83179;17/01/1977;1200;0;;;;;;;;
83179;18/01/1977;0000;;26.5;;0;5.9;;86.75;1.7;
83179;18/01/1977;1200;18.2;;;;;;;;
83179;19/01/1977;0000;;30.1;;0.8;1.7;;89.5;1.7;
83179;19/01/1977;1200;0.6;;;;;;;;
83179;20/01/1977;0000;;26.9;;0.5;2;;86;2.566667;
83179;20/01/1977;1200;3;;;;;;;;
83179;21/01/1977;0000;;28.5;;0.8;1.6;;91.25;2.4;
83179;21/01/1977;1200;0.8;;;;;;;;
83179;22/01/1977;0000;;29.5;;0;;;76.25;0.833333;
83179;22/01/1977;1200;31.8;;;;;;;;
83179;23/01/1977;0000;;31.3;;4.9;4.6;;89;0.9;
83179;23/01/1977;1200;0;;;;;;;;
83179;24/01/1977;0000;;25.4;;3.9;2.1;;94;1.633333;
83179;24/01/1977;1200;3.1;;;;;;;;
83179;25/01/1977;0000;;28.7;;0.7;1.2;;82.25;1.366667;
83179;25/01/1977;1200;0;;;;;;;;
83179;26/01/1977;0000;;25.1;;0;2.3;;92;2.966667;
83179;26/01/1977;1200;44.2;;;;;;;;
