--------------------
BDMEP - INMET
--------------------
Estação           : BARREIRAS - BA (OMM: 83236)
Latitude  (graus) : -12.15
Longitude (graus) : -45
Altitude  (metros): 439.29
Estação Operante
Inicio de operação: 01/01/1924
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83236;01/01/1961;0000;;31.4;;3.4;2.8;24.56;81.75;1.666667;
83236;01/01/1961;1200;;;21.5;;;;;;
83236;02/01/1961;0000;;28.6;;3.3;1.9;23.9;83.75;1.333333;
83236;02/01/1961;1200;0;;20.9;;;;;;
83236;03/01/1961;0000;;28.9;;1.8;1.3;24.22;75.5;2.333333;
83236;03/01/1961;1200;0;;20.1;;;;;;
83236;04/01/1961;0000;;32.5;;7.2;1.7;25;77;0.666667;
83236;04/01/1961;1200;3;;20.1;;;;;;
83236;05/01/1961;0000;;29.8;;6.2;1.9;23.98;84.5;1.333333;
83236;05/01/1961;1200;0;;19.2;;;;;;
83236;06/01/1961;0000;;31.2;;5.4;1.7;25;83.75;2;
83236;06/01/1961;1200;0;;20;;;;;;
83236;07/01/1961;0000;;26.6;;0.7;1.8;23.7;87.5;2;
83236;07/01/1961;1200;0.7;;21.5;;;;;;
83236;08/01/1961;0000;;31.8;;5.6;1.2;24.6;79.75;2.666667;
83236;08/01/1961;1200;0;;20.9;;;;;;
83236;09/01/1961;0000;;31.6;;3.1;2.5;24.18;89;1;
83236;09/01/1961;1200;6.6;;19.9;;;;;;
83236;10/01/1961;0000;;34.4;;9;1.3;25.88;71;3.333333;
83236;10/01/1961;1200;0.6;;20.5;;;;;;
83236;11/01/1961;0000;;32.4;;5.8;3;25.2;73.5;3;
83236;11/01/1961;1200;0;;19.8;;;;;;
83236;12/01/1961;0000;;27;;0;2.2;21.36;90;1.333333;
83236;12/01/1961;1200;22.2;;19.4;;;;;;
83236;13/01/1961;0000;;27.6;;1.4;1;23.24;89.25;1.666667;
83236;13/01/1961;1200;13.2;;19.4;;;;;;
83236;14/01/1961;0000;;31.6;;9.2;1.4;24.72;79;2.666667;
83236;14/01/1961;1200;0;;20.4;;;;;;
83236;15/01/1961;0000;;30.6;;4.8;2.2;25.2;80;1.666667;
83236;15/01/1961;1200;1.2;;21.6;;;;;;
83236;16/01/1961;0000;;31.4;;6.1;2.2;25.16;77;2.666667;
83236;16/01/1961;1200;0;;21.6;;;;;;
83236;17/01/1961;0000;;30.8;;7.8;1.8;23.32;84;3.666667;
83236;17/01/1961;1200;0;;20;;;;;;
83236;18/01/1961;0000;;30.4;;6.8;1.8;23.28;79;1.666667;
83236;18/01/1961;1200;5.9;;19.6;;;;;;
83236;19/01/1961;0000;;31.4;;10.6;1.9;25.04;77.75;2.666667;
83236;19/01/1961;1200;0.3;;19.2;;;;;;
83236;20/01/1961;0000;;31.4;;9;2.8;25.04;76;2.666667;
83236;20/01/1961;1200;0;;20.6;;;;;;
83236;21/01/1961;0000;;31.2;;4.4;3.1;24.28;90.25;3;
83236;21/01/1961;1200;0;;21.2;;;;;;
83236;22/01/1961;0000;;25;;0.2;1.1;22.04;91.25;1.333333;
83236;22/01/1961;1200;16.7;;20.6;;;;;;
83236;23/01/1961;0000;;26.8;;2.8;0.6;22.96;91.5;3.666667;
83236;23/01/1961;1200;13;;20.4;;;;;;
83236;24/01/1961;0000;;28.2;;3.8;0.7;23.52;92.25;3;
83236;24/01/1961;1200;47.9;;21;;;;;;
83236;25/01/1961;0000;;31;;4.2;1;24.24;82.75;3.666667;
83236;25/01/1961;1200;10.4;;19.2;;;;;;
83236;26/01/1961;0000;;30.2;;3.6;2;24.64;85.75;2.333333;
83236;26/01/1961;1200;3.6;;21.8;;;;;;
83236;27/01/1961;0000;;28.4;;3.1;1.3;23.32;86.25;4.333333;
