--------------------
BDMEP - INMET
--------------------
Estação           : BOM JESUS DA LAPA - BA (OMM: 83288)
Latitude  (graus) : -13.26
Longitude (graus) : -43.41
Altitude  (metros): 439.96
Estação Operante
Inicio de operação: 01/11/1941
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Umidade Relativa Media;Velocidade do Vento Media;
83288;11/09/1969;0000;;35.1;;10.6;;31.25;0.333333;
83288;11/09/1969;1200;;;15.2;;;;;
83288;12/09/1969;0000;;35;;8.9;;31.5;0.333333;
83288;12/09/1969;1200;;;16;;;;;
83288;13/09/1969;0000;;35.8;;10.9;;29.25;1;
83288;13/09/1969;1200;0;;18.6;;;;;
83288;14/09/1969;0000;;34.8;;11;11.6;33;0.333333;
83288;14/09/1969;1200;0;;17.6;;;;;
83288;15/09/1969;0000;;34.7;;10.4;9.2;31.75;1.666667;
83288;15/09/1969;1200;0;;17.1;;;;;
83288;16/09/1969;0000;;35.5;;10.6;9;30;1;
83288;16/09/1969;1200;0;;16.2;;;;;
83288;17/09/1969;0000;;34.5;;8.5;9.8;36.5;1.333333;
83288;17/09/1969;1200;0;;18.4;;;;;
83288;18/09/1969;0000;;33.9;;10.5;8.4;39;2.666667;
83288;18/09/1969;1200;0;;17.1;;;;;
83288;19/09/1969;0000;;35;;9.5;9.4;35.5;1.333333;
83288;19/09/1969;1200;0;;18.1;;;;;
83288;20/09/1969;0000;;34.6;;3;8.2;36.75;1.333333;
83288;20/09/1969;1200;0;;18.1;;;;;
83288;21/09/1969;0000;;31.4;;9.5;9;51.5;1.333333;
83288;21/09/1969;1200;0;;21.7;;;;;
83288;22/09/1969;0000;;26.6;;0;6.8;79.5;0.333333;
