--------------------
BDMEP - INMET
--------------------
Estação           : BOM JESUS DO PIAUI - PI (OMM: 82975)
Latitude  (graus) : -9.1
Longitude (graus) : -44.11
Altitude  (metros): 331.74
Estação Operante
Inicio de operação: 19/04/1971
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82975;19/04/1971;0000;;32.3;;6.8;3.8;;97.5;1;
82975;20/04/1971;0000;;32.1;;6.1;2.9;;97.5;1;
82975;20/04/1971;1200;7.2;;;;;;;;
82975;21/04/1971;0000;;28.1;;2.8;1.8;;93;2.666667;
82975;21/04/1971;1200;6.5;;;;;;;;
82975;22/04/1971;0000;;29.6;;2.8;1.5;;92.75;1;
82975;22/04/1971;1200;3.4;;;;;;;;
82975;23/04/1971;0000;;33.1;;7;2;;86.5;1.333333;
82975;23/04/1971;1200;0;;;;;;;;
82975;24/04/1971;0000;;29.8;;3.9;1.6;;87;0.666667;
82975;24/04/1971;1200;13;;;;;;;;
82975;25/04/1971;0000;;31.7;;6.2;2.2;;90.25;0.666667;
82975;25/04/1971;1200;0;;;;;;;;
82975;26/04/1971;0000;;26.7;;1;3.4;;94;1.333333;
82975;26/04/1971;1200;5.6;;;;;;;;
82975;27/04/1971;0000;;29.3;;7.7;1.1;;86.75;2.333333;
82975;27/04/1971;1200;12.5;;;;;;;;
82975;28/04/1971;0000;;30.7;;10.8;4.2;;79.25;0.666667;
82975;28/04/1971;1200;0;;;;;;;;
82975;29/04/1971;0000;;30.2;;10;4.6;;78.25;1.666667;
82975;29/04/1971;1200;0;;;;;;;;
82975;30/04/1971;0000;;28.3;;0.6;4.7;;91.5;0.666667;
82975;30/04/1971;1200;0;;;;;;;;
82975;01/05/1971;0000;;31;;8.8;2.5;;80.25;2.666667;
82975;01/05/1971;1200;0;;;;;;;;
82975;02/05/1971;0000;;30.5;;7.5;4.1;;72.25;2.333333;
82975;02/05/1971;1200;0;;;;;;;;
82975;03/05/1971;0000;;31.2;;9.3;4.8;;79.5;1;
82975;03/05/1971;1200;0;;;;;;;;
82975;04/05/1971;0000;;31;;11.2;5.5;;70;2.666667;
82975;04/05/1971;1200;0;;;;;;;;
82975;05/05/1971;0000;;31;;11;6;;77;1;
82975;05/05/1971;1200;0;;;;;;;;
82975;06/05/1971;0000;;31.1;;10.4;5.3;;73.75;1.666667;
82975;06/05/1971;1200;0;;;;;;;;
82975;07/05/1971;0000;;31.6;;11.2;5.6;;69.75;3;
82975;07/05/1971;1200;0;;;;;;;;
82975;08/05/1971;0000;;31.2;;9.9;6.6;;73.75;1.333333;
82975;08/05/1971;1200;0;;;;;;;;
82975;09/05/1971;0000;;31.9;;8;5;;75.5;2.666667;
82975;09/05/1971;1200;0;;;;;;;;
82975;10/05/1971;0000;;32.2;;9.2;5.2;;77.75;4.666667;
82975;10/05/1971;1200;0;;;;;;;;
82975;11/05/1971;0000;;30.3;;6.2;6.2;;74;2;
82975;11/05/1971;1200;0;;;;;;;;
82975;12/05/1971;0000;;29.9;;5.3;4.9;;82.5;3.333333;
82975;12/05/1971;1200;0;;;;;;;;
82975;13/05/1971;0000;;31;;7;4.9;;74.75;4;
82975;13/05/1971;1200;0;;;;;;;;
82975;14/05/1971;0000;;30.8;;9.3;5.5;;74.5;2.333333;
82975;14/05/1971;1200;0;;;;;;;;
82975;15/05/1971;0000;;30.7;;9.8;5.7;;76.25;1.666667;
82975;15/05/1971;1200;0;;;;;;;;
82975;16/05/1971;0000;;31.2;;7.5;6.1;;86.75;1.666667;
82975;16/05/1971;1200;0;;;;;;;;
82975;17/05/1971;0000;;32.1;;10.6;3.6;;71.75;2.666667;
82975;17/05/1971;1200;0.1;;;;;;;;
82975;18/05/1971;0000;;31.2;;7.6;6.5;;74.5;1.666667;
82975;18/05/1971;1200;0;;;;;;;;
82975;19/05/1971;0000;;31.8;;10.5;4.9;;72.75;3;
