--------------------
BDMEP - INMET
--------------------
Estação           : CARACOL - PI (OMM: 82976)
Latitude  (graus) : -9.28
Longitude (graus) : -43.33
Altitude  (metros): 522.77
Estação Operante
Inicio de operação: 03/10/1975
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Umidade Relativa Media;Velocidade do Vento Media;
82976;03/10/1975;0000;;35.4;;11.5;;34.25;2.866667;
82976;03/10/1975;1200;;;18.4;;;;;
82976;04/10/1975;0000;;35.8;;9.5;12.9;35.25;2.133333;
82976;04/10/1975;1200;0;;11.2;;;;;
82976;05/10/1975;0000;;35;;10.8;13.2;38;3.733333;
82976;05/10/1975;1200;0;;12.2;;;;;
82976;06/10/1975;0000;;34.8;;11.2;14.2;41.25;3.2;
82976;06/10/1975;1200;0;;11.4;;;;;
82976;07/10/1975;0000;;35.4;;9.6;12.9;37;2.066667;
82976;07/10/1975;1200;0;;18.4;;;;;
82976;08/10/1975;0000;;34.4;;11.1;15.8;40.75;2.866667;
82976;08/10/1975;1200;0;;15.6;;;;;
82976;09/10/1975;0000;;33.8;;8.9;13.4;45.5;3.466667;
82976;09/10/1975;1200;0;;18;;;;;
82976;10/10/1975;0000;;32.8;;5.6;10.3;56.25;3.033333;
82976;10/10/1975;1200;0;;20.8;;;;;
82976;11/10/1975;0000;;34.4;;7.7;8.6;59.25;2.966667;
82976;11/10/1975;1200;0;;18.6;;;;;
82976;12/10/1975;0000;;32.2;;4.9;8.6;81.5;2.133333;
82976;12/10/1975;1200;1;;19.6;;;;;
82976;13/10/1975;0000;;31;;3.5;5.5;73.5;1.3;
82976;13/10/1975;1200;4.6;;18.8;;;;;
82976;14/10/1975;0000;;32.8;;4.6;5.5;58.5;2.633333;
82976;14/10/1975;1200;0.5;;18.8;;;;;
