--------------------
BDMEP - INMET
--------------------
Estação           : MOCAMBINHO - MG (OMM: 83389)
Latitude  (graus) : -15.08
Longitude (graus) : -44.01
Altitude  (metros): 452.00
Estação Operante
Inicio de operação: 01/11/1975
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83389;01/01/1976;0000;;30.8;;8.8;6;24.62;61.25;2;
83389;01/01/1976;1200;;;18.3;;;;;;
83389;02/01/1976;0000;;31.4;;6.2;5.1;24.54;73;2.333333;
83389;02/01/1976;1200;0;;18.3;;;;;;
83389;03/01/1976;0000;;32.4;;8.4;5.4;25.7;60.25;0.666667;
83389;03/01/1976;1200;0;;18.3;;;;;;
83389;04/01/1976;0000;;29.8;;10.4;6.4;25.14;71.25;1.333333;
83389;04/01/1976;1200;0;;18.3;;;;;;
83389;05/01/1976;0000;;31.4;;9.1;2.4;25.58;68.25;0.666667;
83389;05/01/1976;1200;0;;18.3;;;;;;
83389;06/01/1976;0000;;33.4;;9.7;1.2;26.5;60;3.333333;
83389;06/01/1976;1200;0;;18.3;;;;;;
83389;07/01/1976;0000;;34.5;;12;7.1;27.3;58;4.333333;
83389;07/01/1976;1200;0;;18.2;;;;;;
83389;08/01/1976;0000;;37;;9.1;8.2;27.36;64.25;2.666667;
83389;08/01/1976;1200;0;;18.6;;;;;;
83389;09/01/1976;0000;;34.6;;10.8;4.9;27.5;60.5;1;
83389;09/01/1976;1200;0;;17.9;;;;;;
83389;10/01/1976;0000;;34.8;;9.6;4;26.26;64.5;3.333333;
83389;10/01/1976;1200;0;;19.3;;;;;;
83389;11/01/1976;0000;;33.4;;12;4.5;27.26;55.75;1.666667;
83389;11/01/1976;1200;0;;18.7;;;;;;
83389;12/01/1976;0000;;37.4;;10.5;11.6;29.1;46;3.333333;
83389;12/01/1976;1200;0;;17.9;;;;;;
83389;13/01/1976;0000;;37.2;;11;9.3;28.48;49.75;1.666667;
83389;13/01/1976;1200;0;;17.6;;;;;;
83389;14/01/1976;0000;;36.8;;11.3;4.2;28.74;46.25;2.666667;
83389;14/01/1976;1200;0;;17.7;;;;;;
83389;15/01/1976;0000;;34.8;;11;11.2;27.7;47.5;3;
83389;15/01/1976;1200;0;;17.9;;;;;;
83389;16/01/1976;0000;;37.4;;9.5;9.7;28.72;46;1;
83389;16/01/1976;1200;0;;17.9;;;;;;
83389;17/01/1976;0000;;34.2;;10.1;9.6;28.36;43.25;1.666667;
83389;17/01/1976;1200;0;;20.2;;;;;;
83389;18/01/1976;0000;;35.2;;9.5;10;26.78;55.5;2.666667;
83389;18/01/1976;1200;;;15.9;;;;;;
