--------------------
BDMEP - INMET
--------------------
Estação           : STa  R  DE CASSIA  IBIPETUBA  - BA (OMM: 83076)
Latitude  (graus) : -11.01
Longitude (graus) : -44.51
Altitude  (metros): 450.30
Estação Operante
Inicio de operação: 13/12/1911
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83076;01/01/1961;0000;;32.7;;;3;24;82.75;0;
83076;01/01/1961;1200;;;18.5;;;;;;
83076;02/01/1961;0000;;31.6;;;2.2;23.78;84;0;
83076;02/01/1961;1200;5.8;;19.7;;;;;;
83076;03/01/1961;0000;;31.7;;;1.8;24.52;74.75;0;
83076;03/01/1961;1200;2.4;;19.3;;;;;;
83076;04/01/1961;0000;;30.3;;;3.2;23.32;84.75;0;
83076;04/01/1961;1200;0;;18.3;;;;;;
83076;05/01/1961;0000;;30.7;;;1.6;24;81.25;0;
83076;05/01/1961;1200;5.3;;18.3;;;;;;
83076;06/01/1961;0000;;33.3;;;4;24.84;73.25;0;
83076;06/01/1961;1200;0;;19.3;;;;;;
83076;07/01/1961;0000;;33.1;;;2.6;25.4;75;0;
83076;07/01/1961;1200;0;;19.3;;;;;;
83076;08/01/1961;0000;;30.3;;;4.8;23.32;84.75;0;
83076;08/01/1961;1200;0;;18.3;;;;;;
83076;09/01/1961;0000;;32.7;;;0.2;24.32;83.25;0;
83076;09/01/1961;1200;7.3;;19.3;;;;;;
83076;10/01/1961;0000;;34.5;;;1.5;25;80.25;0;
83076;10/01/1961;1200;22.2;;17.7;;;;;;
83076;11/01/1961;0000;;32.1;;;3;24.92;82.25;0;
83076;11/01/1961;1200;0;;19.5;;;;;;
83076;12/01/1961;0000;;30.7;;;3.3;23.92;84.75;0;
83076;12/01/1961;1200;3.7;;19.7;;;;;;
83076;13/01/1961;0000;;30.7;;;1.1;23.4;82.75;0;
83076;13/01/1961;1200;45;;17.9;;;;;;
83076;14/01/1961;0000;;30.5;;;0.1;24.08;74.75;0;
83076;14/01/1961;1200;0;;19.1;;;;;;
83076;15/01/1961;0000;;31.3;;;1.1;24.4;81.25;0.333333;
83076;15/01/1961;1200;0;;19.5;;;;;;
83076;16/01/1961;0000;;31.7;;;3.7;24;76.5;0;
83076;16/01/1961;1200;0;;18.5;;;;;;
83076;17/01/1961;0000;;30.7;;;3.2;22.04;83.25;0;
83076;17/01/1961;1200;0;;17.9;;;;;;
83076;18/01/1961;0000;;30.7;;;2.3;22.36;84.25;0;
83076;18/01/1961;1200;10.6;;17.5;;;;;;
83076;19/01/1961;0000;;30.5;;;2;23.56;84.5;0;
83076;19/01/1961;1200;5.2;;18.1;;;;;;
83076;20/01/1961;0000;;30.7;;;2.7;23.2;85.75;0;
83076;20/01/1961;1200;0;;17.3;;;;;;
83076;21/01/1961;0000;;30.5;;;3.3;24.16;82.75;0;
83076;21/01/1961;1200;0;;19.3;;;;;;
83076;22/01/1961;0000;;26.1;;;1;22.4;93.5;0;
83076;22/01/1961;1200;1.6;;19.1;;;;;;
83076;23/01/1961;0000;;29.1;;;0.9;23.12;82.25;0.333333;
83076;23/01/1961;1200;16.2;;18.7;;;;;;
83076;24/01/1961;0000;;32.5;;;1.8;24.16;82;0;
83076;24/01/1961;1200;1.6;;19.1;;;;;;
83076;25/01/1961;0000;;33.5;;;2.6;24.16;84;0;
83076;25/01/1961;1200;0;;18.3;;;;;;
83076;26/01/1961;0000;;28.5;;;1;23.44;90.5;0;
83076;26/01/1961;1200;13.4;;19.3;;;;;;
83076;27/01/1961;0000;;26.7;;;1.5;22;90.5;0.333333;
83076;27/01/1961;1200;26.2;;18.1;;;;;;
83076;28/01/1961;0000;;31.7;;;1.1;23.52;84.5;0;
83076;28/01/1961;1200;9.8;;18.5;;;;;;
83076;29/01/1961;0000;;31.7;;;1.5;24.88;83.5;0;
83076;29/01/1961;1200;0;;19.9;;;;;;
83076;30/01/1961;0000;;33.7;;;3.7;25.52;80.25;0;
83076;30/01/1961;1200;0;;18.7;;;;;;
83076;31/01/1961;0000;;33.5;;;3.8;25.16;73.5;0;
83076;31/01/1961;1200;0;;18.3;;;;;;
83076;01/02/1961;0000;;34.7;;;3.2;24.64;81.5;0;
83076;01/02/1961;1200;0;;17.1;;;;;;
83076;02/02/1961;0000;;34.1;;;4;25.4;67.75;0;
83076;02/02/1961;1200;0;;17.3;;;;;;
83076;03/02/1961;0000;;35.1;;;3.3;23.92;71.75;0;
83076;03/02/1961;1200;0;;15.3;;;;;;
83076;04/02/1961;0000;;31.5;;;3.5;24.28;80.25;0;
83076;04/02/1961;1200;0;;16.7;;;;;;
83076;05/02/1961;0000;;33.1;;;3;25.4;75;0;
83076;05/02/1961;1200;0;;19.3;;;;;;
83076;06/02/1961;0000;;34.1;;;4.9;24.6;80;0.333333;
83076;06/02/1961;1200;0;;17.9;;;;;;
83076;07/02/1961;0000;;32.7;;;3.3;25;77;0;
83076;07/02/1961;1200;0;;18.5;;;;;;
83076;08/02/1961;0000;;33.7;;;3.3;25.8;76.5;0.333333;
83076;08/02/1961;1200;0;;19.7;;;;;;
83076;09/02/1961;0000;;34.7;;;5.3;26.36;74.75;0;
83076;09/02/1961;1200;0;;19.7;;;;;;
83076;10/02/1961;0000;;34.1;;;3.6;25.64;82;0.333333;
83076;10/02/1961;1200;0;;18.7;;;;;;
83076;11/02/1961;0000;;33.1;;;3.2;24.92;76.25;0;
83076;11/02/1961;1200;3.8;;19.7;;;;;;
83076;12/02/1961;0000;;27.9;;;2.9;22.96;81.25;0;
83076;12/02/1961;1200;0;;20.1;;;;;;
83076;13/02/1961;0000;;31.5;;;0.6;23.12;85.25;0;
83076;13/02/1961;1200;28.8;;18.1;;;;;;
83076;14/02/1961;0000;;33.1;;;3;24.24;80.25;0;
83076;14/02/1961;1200;0;;18.3;;;;;;
83076;15/02/1961;0000;;28.1;;;3;23.12;83;0;
83076;15/02/1961;1200;2.2;;18.3;;;;;;
83076;16/02/1961;0000;;31.5;;;2.7;23.88;81.75;0;
83076;16/02/1961;1200;0;;18.1;;;;;;
83076;17/02/1961;0000;;31.7;;;2.6;23.6;82.25;0;
83076;17/02/1961;1200;0;;16.3;;;;;;
83076;18/02/1961;0000;;32.7;;;2.2;24;81.25;0;
83076;18/02/1961;1200;0;;17.3;;;;;;
83076;19/02/1961;0000;;33.7;;;2.6;24.8;81.75;0;
83076;19/02/1961;1200;0;;18.5;;;;;;
83076;20/02/1961;0000;;32.3;;;3.8;24.96;79.5;0;
83076;20/02/1961;1200;0;;18.3;;;;;;
83076;21/02/1961;0000;;33.7;;;3.4;25.68;73;0;
83076;21/02/1961;1200;0;;19.3;;;;;;
83076;22/02/1961;0000;;33.7;;;4.3;25.56;69.25;0;
83076;22/02/1961;1200;0;;18.3;;;;;;
83076;23/02/1961;0000;;34.7;;;4.7;25.56;65.5;0;
83076;23/02/1961;1200;0;;17.7;;;;;;
