--------------------
BDMEP - INMET
--------------------
Estação           : TAGUATINGA - TO (OMM: 83235)
Latitude  (graus) : -12.4
Longitude (graus) : -46.41
Altitude  (metros): 603.59
Estação Operante
Inicio de operação: 22/12/1915
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83235;01/01/1961;0000;;27.5;;;;22.98;85.75;0;
83235;01/01/1961;1200;;;17.4;;;;;;
83235;02/01/1961;0000;;30.9;;;;24.58;80;0;
83235;02/01/1961;1200;0;;19.4;;;;;;
83235;03/01/1961;0000;;30.9;;;;23.3;82.75;0;
83235;03/01/1961;1200;0;;19.4;;;;;;
83235;04/01/1961;0000;;30.5;;;;23.26;82.5;0;
83235;04/01/1961;1200;15;;19;;;;;;
83235;05/01/1961;0000;;30.7;;;;23.7;80.5;0;
83235;05/01/1961;1200;2.3;;18.8;;;;;;
83235;06/01/1961;0000;;30.1;;;;24.82;77.25;0;
83235;06/01/1961;1200;0.6;;19;;;;;;
83235;07/01/1961;0000;;28.9;;;;24.06;80.5;0;
83235;07/01/1961;1200;0.6;;20;;;;;;
83235;08/01/1961;0000;;28.3;;;;22.98;88.75;0;
83235;08/01/1961;1200;0;;18.8;;;;;;
83235;09/01/1961;0000;;29.3;;;;23.38;80.25;1;
83235;09/01/1961;1200;29.7;;18.2;;;;;;
83235;10/01/1961;0000;;31.5;;;;24.5;70.75;0;
83235;10/01/1961;1200;0.7;;18;;;;;;
83235;11/01/1961;0000;;30.7;;;;24.02;81.75;0;
83235;11/01/1961;1200;2;;19;;;;;;
83235;12/01/1961;0000;;24.3;;;;20.58;89.25;0;
83235;12/01/1961;1200;27.5;;17;;;;;;
83235;13/01/1961;0000;;26.9;;;;21.5;85;0;
83235;13/01/1961;1200;15.6;;16.4;;;;;;
83235;14/01/1961;0000;;30.5;;;;23.62;73.5;1;
83235;14/01/1961;1200;0;;19;;;;;;
83235;15/01/1961;0000;;30.5;;;;22.3;84.5;0;
83235;15/01/1961;1200;43.9;;18.6;;;;;;
83235;16/01/1961;0000;;30.7;;;;23.58;80.5;0;
83235;16/01/1961;1200;17;;18;;;;;;
83235;17/01/1961;0000;;31.1;;;;24.06;75.75;0;
83235;17/01/1961;1200;1;;18.8;;;;;;
83235;18/01/1961;0000;;29.9;;;;22.66;75.75;0.333333;
83235;18/01/1961;1200;6;;17;;;;;;
83235;19/01/1961;0000;;31.9;;;;23.94;75;0;
83235;19/01/1961;1200;0;;19;;;;;;
83235;20/01/1961;0000;;31.1;;;;24.7;70.75;1;
83235;20/01/1961;1200;0;;18.4;;;;;;
83235;21/01/1961;0000;;30.9;;;;23.98;75;0;
83235;21/01/1961;1200;0;;19;;;;;;
83235;22/01/1961;0000;;28.7;;;;23.22;85.75;1;
83235;22/01/1961;1200;0;;19.4;;;;;;
83235;23/01/1961;0000;;27.3;;;;22.62;84.5;1;
83235;23/01/1961;1200;1.4;;18.8;;;;;;
83235;24/01/1961;0000;;27.7;;;;22.14;87.25;0;
83235;24/01/1961;1200;16.2;;18.8;;;;;;
83235;25/01/1961;0000;;31.5;;;;23.94;77;1;
83235;25/01/1961;1200;1.8;;18.2;;;;;;
83235;26/01/1961;0000;;30.7;;;;23.58;82;0.333333;
83235;26/01/1961;1200;2.8;;19.8;;;;;;
83235;27/01/1961;0000;;29.9;;;;22.58;83.25;0;
83235;27/01/1961;1200;44;;18.8;;;;;;
83235;28/01/1961;0000;;27.9;;;;23.06;82;0;
83235;28/01/1961;1200;0.5;;19.2;;;;;;
83235;29/01/1961;0000;;29.9;;;;23.94;86.5;0.333333;
83235;29/01/1961;1200;0;;19.4;;;;;;
83235;30/01/1961;0000;;30.9;;;;24.94;80.75;0;
83235;30/01/1961;1200;23.8;;19.2;;;;;;
83235;31/01/1961;0000;;31.5;;;;24.5;82.5;1;
83235;31/01/1961;1200;3.7;;20;;;;;;
83235;01/02/1961;0000;;30.7;;;;24.62;73;0;
83235;01/02/1961;1200;1;;19;;;;;;
83235;02/02/1961;0000;;33.3;;;;25.94;64;1;
83235;02/02/1961;1200;0;;19.4;;;;;;
83235;03/02/1961;0000;;32.7;;;;25.42;59;0;
83235;03/02/1961;1200;0;;20.2;;;;;;
83235;04/02/1961;0000;;33.1;;;;25.7;61.25;0;
83235;04/02/1961;1200;0;;19.6;;;;;;
83235;05/02/1961;0000;;31.1;;;;25.3;69.5;0;
83235;05/02/1961;1200;0;;19.4;;;;;;
83235;06/02/1961;0000;;30.3;;;;24.38;80.5;0;
83235;06/02/1961;1200;0;;20;;;;;;
83235;07/02/1961;0000;;27.3;;;;22.82;83.75;0;
83235;07/02/1961;1200;11.7;;18.8;;;;;;
83235;08/02/1961;0000;;32.5;;;;24.46;75.25;0;
83235;08/02/1961;1200;18.1;;18;;;;;;
83235;09/02/1961;0000;;31.9;;;;25.3;77.75;0;
83235;09/02/1961;1200;0;;20.2;;;;;;
83235;10/02/1961;0000;;31.1;;;;23.9;80.5;0.333333;
83235;10/02/1961;1200;3.6;;19.6;;;;;;
83235;11/02/1961;0000;;30.9;;;;23.62;83;1.666667;
83235;11/02/1961;1200;10;;18.2;;;;;;
83235;12/02/1961;0000;;26.1;;;;21.54;88.75;0.333333;
83235;12/02/1961;1200;3.6;;18.6;;;;;;
83235;13/02/1961;0000;;29.1;;;;22.94;80.5;0.333333;
83235;13/02/1961;1200;25.6;;17.8;;;;;;
83235;14/02/1961;0000;;29.7;;;;23.42;86;2;
83235;14/02/1961;1200;6.9;;19.4;;;;;;
83235;15/02/1961;0000;;28.9;;;;22.98;82.5;0;
83235;15/02/1961;1200;0.9;;18.6;;;;;;
83235;16/02/1961;0000;;29.9;;;;23.14;81.25;0.333333;
83235;16/02/1961;1200;2.3;;17.8;;;;;;
83235;17/02/1961;0000;;29.9;;;;23.62;80.5;0;
83235;17/02/1961;1200;2.2;;18.8;;;;;;
83235;18/02/1961;0000;;27.9;;;;23.66;80;0;
83235;18/02/1961;1200;8.2;;18.6;;;;;;
83235;19/02/1961;0000;;28.9;;;;23.38;90;0;
83235;19/02/1961;1200;26;;19.2;;;;;;
83235;20/02/1961;0000;;28.9;;;;22.3;90.5;1;
83235;20/02/1961;1200;29.4;;18.6;;;;;;
83235;21/02/1961;0000;;25.7;;;;21.66;93.75;0;
83235;21/02/1961;1200;21.8;;18.4;;;;;;
83235;22/02/1961;0000;;28.5;;;;22.9;88.25;0;
83235;22/02/1961;1200;23.2;;18.6;;;;;;
83235;23/02/1961;0000;;30.9;;;;23.9;80.75;0;
83235;23/02/1961;1200;9.3;;17.6;;;;;;
83235;24/02/1961;0000;;33.3;;;;25.9;67;1;
83235;24/02/1961;1200;0;;17.8;;;;;;
83235;25/02/1961;0000;;33.1;;;;25.86;74;1.666667;
83235;25/02/1961;1200;0;;20;;;;;;
83235;26/02/1961;0000;;33.1;;;;25.38;73;0;
83235;26/02/1961;1200;1.4;;18;;;;;;
83235;27/02/1961;0000;;30.9;;;;24.18;75.25;0;
83235;27/02/1961;1200;2.6;;18;;;;;;
83235;28/02/1961;0000;;31.9;;;;24.3;72.5;0;
83235;28/02/1961;1200;0;;18.4;;;;;;
