--------------------
BDMEP - INMET
--------------------
Estação           : BARREIRAS - BA (OMM: 83236)
Latitude  (graus) : -12.15
Longitude (graus) : -45
Altitude  (metros): 439.29
Estação Operante
Inicio de operação: 01/01/1924
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;
83236;31/01/1961;0000;5;2.26087;
83236;28/02/1961;0000;5;1.702381;
83236;31/03/1961;0000;5;1.602151;
83236;30/04/1961;0000;5;1.622222;
83236;31/05/1961;0000;14;1.666667;
83236;30/06/1961;0000;14;2.566667;
83236;31/07/1961;0000;14;2.268817;
83236;31/08/1961;0000;5;2.182796;
83236;30/09/1961;0000;5;1.788889;
83236;31/10/1961;0000;5;2.569892;
83236;30/11/1961;0000;5;2.288889;
83236;31/12/1961;0000;5;1.666667;
83236;31/01/1962;0000;5;1.580645;
83236;28/02/1962;0000;5;1.952381;
83236;31/03/1962;0000;5;1.344086;
83236;30/04/1962;0000;5;1.4;
83236;31/05/1962;0000;14;1.591398;
83236;30/06/1962;0000;14;1.888889;
83236;31/07/1962;0000;14;1.44086;
83236;31/08/1962;0000;14;1.494624;
83236;30/09/1962;0000;5;2.188889;
83236;31/10/1962;0000;5;1.924731;
83236;30/11/1962;0000;5;1.477778;
83236;31/12/1962;0000;5;1.366667;
83236;31/01/1963;0000;0;1.032258;
83236;28/02/1963;0000;5;1.845238;
83236;31/03/1963;0000;5;1.731183;
83236;30/04/1963;0000;9;1.1;
83236;31/05/1963;0000;14;1.344086;
83236;30/06/1963;0000;14;1.455556;
83236;31/07/1963;0000;14;1.784946;
83236;31/08/1963;0000;14;1.387097;
83236;30/09/1963;0000;5;1.8;
83236;31/10/1963;0000;5;1.860215;
83236;30/11/1963;0000;5;1.233333;
83236;31/01/1964;0000;5;1.391304;
83236;29/02/1964;0000;5;1.45977;
83236;31/03/1964;0000;5;1.634409;
83236;30/04/1964;0000;5;1.511111;
83236;31/05/1964;0000;14;1.516129;
83236;30/06/1964;0000;14;1.666667;
83236;31/07/1964;0000;14;1.602151;
83236;31/08/1964;0000;14;1.946237;
83236;30/09/1964;0000;5;1.888889;
83236;31/10/1964;0000;5;1.870968;
83236;30/11/1964;0000;5;1.733333;
83236;31/12/1964;0000;5;1.494624;
83236;31/01/1965;0000;5;1.741935;
83236;28/02/1965;0000;5;1.595238;
83236;31/03/1965;0000;9;1.473118;
83236;30/04/1965;0000;0;1.211111;
83236;31/05/1965;0000;9;1.505376;
83236;30/06/1965;0000;14;1.633333;
83236;31/07/1965;0000;14;1.806452;
83236;31/08/1965;0000;9;1.967742;
83236;30/09/1965;0000;9;2;
83236;31/10/1965;0000;5;2.032258;
83236;30/11/1965;0000;5;1.733333;
83236;31/12/1965;0000;9;1.580645;
83236;31/01/1966;0000;9;1.709677;
83236;28/02/1966;0000;9;1.761905;
83236;31/03/1966;0000;9;1.365591;
83236;30/04/1966;0000;9;1.444444;
83236;31/05/1966;0000;14;1.473118;
83236;30/06/1966;0000;9;1.522222;
83236;31/07/1966;0000;14;2.086022;
83236;31/08/1966;0000;14;1.634409;
83236;30/09/1966;0000;5;1.677778;
83236;31/10/1966;0000;5;1.666667;
83236;30/11/1966;0000;5;1.877778;
83236;31/12/1966;0000;5;1.451613;
83236;31/01/1967;0000;5;1.44086;
83236;28/02/1967;0000;9;1.428571;
83236;31/03/1967;0000;9;1.870968;
83236;30/04/1967;0000;5;1.488889;
83236;31/05/1967;0000;9;1.387097;
83236;30/06/1967;0000;14;1.911111;
83236;31/07/1967;0000;14;1.580645;
83236;31/08/1967;0000;9;1.806452;
83236;30/09/1967;0000;9;1.622222;
83236;31/10/1967;0000;9;1.752688;
83236;30/11/1967;0000;9;1.577778;
83236;31/12/1967;0000;9;1.688172;
