--------------------
BDMEP - INMET
--------------------
Estação           : CORRENTINA - BA (OMM: 83286)
Latitude  (graus) : -13.33
Longitude (graus) : -44.61
Altitude  (metros): 549.47
Estação Operante
Inicio de operação: 11/08/1975
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;
83286;28/02/1977;0000;5;3.042188;
83286;31/03/1977;0000;9;2.394595;
83286;30/04/1977;0000;9;2.448315;
83286;31/05/1977;0000;9;2.365432;
83286;30/06/1977;0000;14;2.528378;
83286;31/07/1977;0000;14;2.973333;
83286;31/08/1977;0000;5;2.654839;
83286;30/09/1977;0000;14;2.668889;
83286;31/10/1977;0000;14;2.670968;
83286;30/11/1977;0000;14;2.195556;
83286;31/12/1977;0000;5;2.004301;
83286;31/01/1978;0000;14;2.361728;
83286;28/02/1978;0000;14;2.007143;
83286;31/03/1978;0000;14;2.178261;
83286;30/04/1978;0000;14;1.976667;
83286;31/05/1978;0000;14;1.727957;
83286;30/06/1978;0000;14;2.275281;
83286;31/07/1978;0000;9;2.224176;
83286;31/08/1978;0000;9;2.703226;
83286;30/09/1978;0000;9;2.930337;
83286;31/10/1978;0000;9;2.155914;
83286;30/11/1978;0000;9;2.15122;
83286;31/12/1978;0000;9;1.98172;
83286;31/01/1979;0000;5;1.744086;
83286;28/02/1979;0000;14;1.820482;
83286;31/03/1979;0000;14;1.880645;
83286;30/04/1979;0000;14;2.151111;
83286;31/05/1979;0000;14;1.926087;
83286;30/06/1979;0000;14;2.375581;
83286;31/07/1979;0000;14;2.232258;
83286;31/08/1979;0000;14;2.035484;
83286;30/09/1979;0000;14;2.293333;
83286;31/10/1979;0000;14;2.073118;
83286;30/11/1979;0000;5;1.804444;
83286;31/12/1979;0000;36;1.789247;
