--------------------
BDMEP - INMET
--------------------
Estação           : STa  R  DE CASSIA  IBIPETUBA  - BA (OMM: 83076)
Latitude  (graus) : -11.01
Longitude (graus) : -44.51
Altitude  (metros): 450.30
Estação Operante
Inicio de operação: 13/12/1911
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;
83076;31/01/1961;0000;0;0.032609;
83076;28/02/1961;0000;0;0.071429;
83076;31/03/1961;0000;0;0.064516;
83076;30/04/1961;0000;0;0.1;
83076;31/05/1961;0000;0;0.107527;
83076;30/06/1961;0000;0;0.422222;
83076;31/07/1961;0000;0;0.333333;
83076;31/08/1961;0000;0;0.268817;
83076;30/09/1961;0000;0;0.355556;
83076;31/10/1961;0000;0;0.849462;
83076;30/11/1961;0000;0;0.555556;
83076;31/12/1961;0000;0;0.301075;
83076;31/01/1962;0000;0;0.032258;
83076;28/02/1962;0000;0;0.142857;
83076;31/03/1962;0000;0;0.021505;
83076;30/04/1962;0000;0;0;
83076;31/05/1962;0000;0;0.44086;
83076;30/06/1962;0000;0;0.655556;
83076;31/07/1962;0000;0;0.483871;
83076;31/08/1962;0000;0;0.204301;
83076;30/09/1962;0000;0;0.2;
83076;31/10/1962;0000;0;0.086022;
83076;30/11/1962;0000;0;0;
83076;31/12/1962;0000;0;0.043011;
83076;31/01/1963;0000;0;0.035484;
83076;28/02/1963;0000;0;0;
83076;31/03/1963;0000;0;0;
83076;30/04/1963;0000;0;0;
83076;31/05/1963;0000;0;0;
83076;30/06/1963;0000;0;0.222222;
83076;31/07/1963;0000;0;0.27957;
83076;31/08/1963;0000;0;0.311828;
83076;30/09/1963;0000;0;0.822222;
83076;31/10/1963;0000;0;0.806452;
83076;30/11/1963;0000;0;1.177778;
83076;31/12/1963;0000;0;0.462366;
83076;31/01/1964;0000;0;0.526882;
83076;29/02/1964;0000;0;0.264368;
83076;31/03/1964;0000;0;0.182796;
83076;30/04/1964;0000;0;0.311111;
83076;31/05/1964;0000;0;0.354839;
83076;30/06/1964;0000;0;0.344444;
83076;31/07/1964;0000;0;0.247312;
83076;31/08/1964;0000;0;0.703226;
83076;30/09/1964;0000;0;0.744444;
83076;31/10/1964;0000;0;0.83871;
83076;30/11/1964;0000;0;0.644444;
83076;31/12/1964;0000;0;0.129032;
83076;31/01/1965;0000;0;0.462366;
83076;28/02/1965;0000;0;0.333333;
83076;31/03/1965;0000;0;0.655914;
83076;30/04/1965;0000;0;0.177778;
83076;31/05/1965;0000;0;0.666667;
83076;30/06/1965;0000;0;0.936667;
83076;31/07/1965;0000;0;0.677419;
83076;31/08/1965;0000;0;1.021505;
83076;30/09/1965;0000;0;1.661111;
83076;31/10/1965;0000;0;0.247312;
83076;30/11/1965;0000;0;0.433333;
83076;31/12/1965;0000;0;0.516129;
83076;31/01/1966;0000;0;0.591398;
83076;28/02/1966;0000;0;0.178571;
83076;31/03/1966;0000;0;0.451613;
83076;30/04/1966;0000;0;0.422222;
83076;31/05/1966;0000;0;0.258065;
83076;30/06/1966;0000;0;0.233333;
83076;31/07/1966;0000;0;0.333333;
83076;31/08/1966;0000;0;0.419355;
83076;30/09/1966;0000;0;0.911111;
83076;31/10/1966;0000;0;0.451613;
83076;30/11/1966;0000;0;0.311111;
83076;31/12/1966;0000;0;0.204301;
83076;31/01/1967;0000;0;0.27957;
83076;28/02/1967;0000;0;0.22619;
83076;31/03/1967;0000;0;0.27957;
83076;30/04/1967;0000;0;0.2;
83076;31/05/1967;0000;0;0.27957;
83076;30/06/1967;0000;0;0.477778;
83076;31/07/1967;0000;0;0.537634;
83076;31/08/1967;0000;0;0.645161;
83076;30/09/1967;0000;0;0.533333;
83076;31/10/1967;0000;0;0.548387;
83076;30/11/1967;0000;0;0.222222;
83076;31/12/1967;0000;0;0.16129;
83076;31/01/1968;0000;0;0.193548;
83076;29/02/1968;0000;0;0.149425;
83076;31/03/1968;0000;0;0.236559;
83076;30/04/1968;0000;0;0.244444;
83076;31/05/1968;0000;0;0.322581;
83076;30/06/1968;0000;0;0.4;
83076;31/07/1968;0000;0;0.55914;
83076;31/08/1968;0000;0;0.569892;
83076;30/09/1968;0000;0;0.511111;
83076;31/10/1968;0000;0;0.537634;
83076;30/11/1968;0000;0;0.266667;
83076;31/12/1968;0000;0;0.311828;
83076;31/01/1969;0000;0;0.333333;
83076;28/02/1969;0000;0;0.27381;
83076;31/03/1969;0000;0;0.150538;
83076;30/04/1969;0000;0;0.422222;
83076;31/05/1969;0000;0;0.666667;
83076;30/06/1969;0000;0;0.866667;
83076;31/07/1969;0000;0;0.731183;
83076;31/08/1969;0000;0;0.709677;
83076;30/09/1969;0000;0;0.6;
83076;31/10/1969;0000;0;0.483871;
83076;30/11/1969;0000;0;0.511111;
83076;31/12/1969;0000;0;0.053763;
83076;31/01/1970;0000;0;0.354839;
83076;28/02/1970;0000;0;0.607143;
83076;31/03/1970;0000;0;0.44086;
83076;30/04/1970;0000;0;0.4;
83076;31/05/1970;0000;0;0.612903;
83076;30/06/1970;0000;14;0.611111;
83076;31/07/1970;0000;14;0.795699;
83076;31/08/1970;0000;14;1.043011;
83076;30/09/1970;0000;14;1.177778;
83076;31/10/1970;0000;0;0.483871;
83076;30/11/1970;0000;0;0.466667;
83076;31/12/1970;0000;0;0.344086;
83076;31/01/1977;0000;14;2.173913;
83076;28/02/1977;0000;14;2.040476;
83076;31/03/1977;0000;27;1.696774;
83076;30/04/1977;0000;32;1.697778;
83076;31/05/1977;0000;14;1.732258;
