--------------------
BDMEP - INMET
--------------------
Estação           : TAGUATINGA - TO (OMM: 83235)
Latitude  (graus) : -12.4
Longitude (graus) : -46.41
Altitude  (metros): 603.59
Estação Operante
Inicio de operação: 22/12/1915
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;
83235;31/01/1961;0000;0;0.26087;
83235;28/02/1961;0000;0;0.345238;
83235;31/03/1961;0000;0;0.537634;
83235;30/04/1961;0000;0;0.755556;
83235;31/05/1961;0000;0;0.913978;
83235;30/06/1961;0000;0;1.455556;
83235;31/07/1961;0000;0;1.526882;
83235;31/08/1961;0000;0;1.623656;
83235;30/09/1961;0000;0;1.577778;
83235;31/10/1961;0000;0;1.827957;
83235;30/11/1961;0000;0;1.033333;
83235;31/01/1962;0000;;0.358696;
83235;28/02/1962;0000;;0.327381;
83235;31/03/1962;0000;;0.827957;
83235;30/04/1962;0000;;0.688889;
83235;31/05/1962;0000;;1.172043;
83235;30/06/1962;0000;;1.422222;
83235;31/07/1962;0000;;1.946237;
83235;31/08/1962;0000;;1.827957;
83235;30/09/1962;0000;;1.455556;
83235;31/10/1962;0000;;1.107527;
83235;31/12/1962;0000;;0.423913;
83235;31/01/1963;0000;;0.290323;
83235;28/02/1963;0000;;0.511905;
83235;31/03/1963;0000;;0.516129;
83235;31/05/1963;0000;;1.336957;
83235;30/06/1963;0000;;1.188889;
83235;31/07/1963;0000;;1.602151;
83235;31/08/1963;0000;;1.473118;
83235;30/09/1963;0000;;1.766667;
83235;31/10/1963;0000;;1.333333;
83235;30/11/1963;0000;;0.955556;
83235;31/12/1963;0000;;0.817204;
83235;31/01/1964;0000;;0.580645;
83235;29/02/1964;0000;;0.413793;
83235;31/03/1964;0000;;0.688172;
83235;30/04/1964;0000;;0.744444;
83235;31/05/1964;0000;;1.11828;
83235;30/06/1964;0000;;1.244444;
83235;31/07/1964;0000;;1.397849;
83235;31/08/1964;0000;;2.053763;
83235;30/09/1964;0000;;1.866667;
83235;31/10/1964;0000;;0.698925;
83235;30/11/1964;0000;;0.4;
83235;31/12/1964;0000;;0.55914;
83235;31/01/1965;0000;;0.634409;
83235;28/02/1965;0000;;0.702381;
83235;31/03/1965;0000;;0.236559;
83235;30/04/1965;0000;;0.855556;
83235;31/05/1965;0000;;0.956989;
83235;30/06/1965;0000;;1.277778;
83235;31/07/1965;0000;;1.709677;
83235;31/10/1965;0000;;0.847826;
83235;30/11/1965;0000;;0.822222;
83235;31/12/1965;0000;;0.473118;
83235;31/01/1966;0000;;0.580645;
83235;28/02/1966;0000;;0.50119;
83235;31/03/1966;0000;;0.387097;
83235;30/04/1966;0000;;0.811111;
83235;31/05/1966;0000;;0.967742;
83235;30/06/1966;0000;;1.266667;
83235;31/07/1966;0000;;1.83871;
83235;31/08/1966;0000;;2.032258;
83235;30/09/1966;0000;;1.622222;
83235;31/10/1966;0000;;1;
83235;30/11/1966;0000;;0.633333;
83235;31/12/1966;0000;;0.27957;
83235;31/01/1967;0000;;0.301075;
83235;28/02/1967;0000;;0.261905;
83235;31/03/1967;0000;;0.387097;
83235;30/04/1967;0000;;0.611111;
83235;31/05/1967;0000;;0.892473;
83235;30/06/1967;0000;;1.466667;
83235;31/07/1967;0000;;1.612903;
83235;31/08/1967;0000;;2.215054;
83235;30/09/1967;0000;;1.666667;
83235;31/12/1967;0000;;0.891304;
83235;31/01/1968;0000;;0.419355;
83235;29/02/1968;0000;;0.45977;
83235;31/03/1968;0000;;1.021505;
83235;30/04/1968;0000;;0.9;
83235;31/05/1968;0000;;0.709677;
83235;30/06/1968;0000;;0.9;
83235;31/07/1968;0000;;1.107527;
83235;31/08/1968;0000;;0.860215;
83235;30/09/1968;0000;;0.966667;
83235;31/10/1968;0000;;0.462366;
83235;30/11/1968;0000;;0.277778;
83235;31/12/1968;0000;;0.16129;
83235;31/01/1969;0000;;0.182796;
83235;28/02/1969;0000;;0.202381;
83235;31/03/1969;0000;;0.215054;
83235;30/04/1969;0000;;0.544444;
83235;31/05/1969;0000;;0.784946;
83235;30/06/1969;0000;;0.711111;
83235;31/07/1969;0000;;1.225806;
83235;31/08/1969;0000;;0.95914;
83235;30/09/1969;0000;;0.866667;
83235;31/10/1969;0000;;0.290323;
83235;30/11/1969;0000;;0.2;
83235;31/12/1969;0000;;0.311828;
83235;31/01/1970;0000;;0.387097;
83235;28/02/1970;0000;;0.321429;
83235;31/03/1970;0000;;0.182796;
83235;30/04/1970;0000;;0.322222;
83235;31/05/1970;0000;;0.645161;
83235;30/06/1970;0000;;0.9;
83235;31/07/1970;0000;;1.258065;
83235;31/08/1970;0000;;1.139785;
83235;30/09/1970;0000;;0.5;
83235;31/10/1970;0000;;0.258065;
83235;30/11/1970;0000;;0.366667;
83235;31/12/1970;0000;;0.129032;
83235;31/01/1971;0000;;0.236559;
83235;28/02/1971;0000;;0.142857;
83235;31/03/1971;0000;;0.129032;
83235;30/04/1971;0000;;0.133333;
83235;31/05/1971;0000;;0.473118;
83235;30/06/1971;0000;;0.388889;
83235;31/07/1971;0000;;0.602151;
83235;31/08/1971;0000;;0.494624;
83235;30/09/1971;0000;;0.355556;
83235;31/10/1971;0000;;0.107527;
83235;30/11/1971;0000;;0.066667;
83235;31/12/1971;0000;;0.268817;
83235;31/01/1972;0000;;0.344086;
83235;29/02/1972;0000;;0.275862;
83235;31/03/1972;0000;;0.258065;
83235;30/04/1972;0000;;0.188889;
83235;31/05/1972;0000;;0.462366;
83235;30/06/1972;0000;;0.488889;
83235;31/07/1972;0000;;0.301075;
83235;31/08/1972;0000;;0.430108;
83235;30/09/1972;0000;;0.444444;
83235;31/10/1972;0000;;0.204301;
83235;30/11/1972;0000;;0.077778;
83235;31/12/1972;0000;;0.139785;
83235;31/01/1973;0000;;0.053763;
83235;28/02/1973;0000;;0.107143;
83235;31/03/1973;0000;;0.107527;
83235;30/04/1973;0000;;0.244444;
83235;31/05/1973;0000;;0.27957;
83235;30/06/1973;0000;;0.533333;
83235;31/07/1973;0000;;0.365591;
83235;31/08/1973;0000;;0.354839;
83235;30/09/1973;0000;;0.577778;
83235;31/10/1973;0000;;0.290323;
83235;30/11/1973;0000;;0.144444;
83235;31/12/1973;0000;;0.16129;
83235;31/01/1974;0000;;0.139785;
83235;28/02/1974;0000;;0.202381;
83235;31/03/1974;0000;;0.11828;
83235;30/04/1974;0000;;0.355556;
83235;31/05/1974;0000;;0.774194;
83235;30/06/1974;0000;;0.533333;
83235;31/07/1974;0000;;1.150538;
83235;31/08/1974;0000;;1.193548;
83235;30/09/1974;0000;;1.388889;
83235;31/10/1974;0000;;0.408602;
83235;30/11/1974;0000;;0.611111;
83235;31/12/1974;0000;;0.387097;
83235;31/01/1975;0000;;0.526882;
83235;28/02/1975;0000;;0.464286;
83235;31/03/1975;0000;;0.655914;
83235;30/04/1975;0000;;1.211111;
83235;31/05/1975;0000;;2;
83235;30/06/1975;0000;;1.811111;
83235;31/07/1975;0000;;1.817204;
83235;31/08/1975;0000;;2.827957;
83235;30/09/1975;0000;;2.744444;
83235;31/10/1975;0000;;0.817204;
83235;30/11/1975;0000;;1.1;
83235;31/12/1975;0000;;0.935484;
83235;31/01/1976;0000;;0.83871;
83235;29/02/1976;0000;;0.662791;
83235;31/03/1976;0000;0;0.328947;
83235;30/04/1976;0000;;1.3;
83235;31/05/1976;0000;;1.268817;
83235;30/06/1976;0000;;2.2;
83235;31/07/1976;0000;;1.817204;
83235;31/08/1976;0000;;1.903226;
83235;30/09/1976;0000;;0.944444;
83235;31/10/1976;0000;;1.11828;
83235;30/11/1976;0000;;0.820225;
83235;31/12/1976;0000;;0.752688;
83235;31/01/1977;0000;;1.645161;
83235;28/02/1977;0000;;1.97619;
83235;31/03/1977;0000;;1.376344;
83235;30/04/1977;0000;;0.633333;
83235;31/05/1977;0000;;1.354839;
83235;30/06/1977;0000;;1.422222;
83235;31/07/1977;0000;;1.580645;
83235;31/08/1977;0000;;1.172043;
83235;30/09/1977;0000;;1.588889;
83235;31/10/1977;0000;;0.946237;
83235;30/11/1977;0000;;0.711111;
83235;31/12/1977;0000;;0.806452;
83235;31/01/1978;0000;;1.150538;
83235;28/02/1978;0000;;0.642857;
83235;31/03/1978;0000;;0.860215;
83235;30/04/1978;0000;;0.544444;
83235;31/05/1978;0000;;0.666667;
83235;30/06/1978;0000;;1;
83235;31/07/1978;0000;;1.107527;
83235;31/08/1978;0000;;1.236559;
